#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
  323 C+           CO2          CO+          CO                                       1.10E-09  0.00E+00  0.00E+00   2
  324 C+           COX          CX+          CO                                       5.50E-10  0.00E+00  0.00E+00   2
  325 C+           COX          CO+          CX                                       5.50E-10  0.00E+00  0.00E+00   2
  326 C+           H2O          HCO+         H                                        8.90E-10 -5.00E-01  0.00E+00   2
  327 C+           H2X          HCX+         H                                        8.90E-10 -5.00E-01  0.00E+00   2
  328 C+           H2O          HOC+         H                                        1.80E-09 -5.00E-01  0.00E+00   2
  329 C+           H2X          HXC+         H                                        1.80E-09 -5.00E-01  0.00E+00   2
  330 C+           H2S          H2S+         C                                        3.20E-10 -5.00E-01  0.00E+00   2
  331 C+           H2S          HCS+         H                                        9.50E-10 -5.00E-01  0.00E+00   2
  332 C+           HCN          C2N+         H                                        4.75E-09 -5.00E-01  0.00E+00   2
  333 C+           HCN          CNC+         H                                        4.75E-09 -5.00E-01  0.00E+00   2
  334 C+           HCO          CH+          CO                                       6.70E-10 -5.00E-01  0.00E+00   2
  335 C+           HCX          CH+          CX                                       6.70E-10 -5.00E-01  0.00E+00   2
  336 C+           HCO          HCO+         C                                        6.70E-10 -5.00E-01  0.00E+00   2
  337 C+           HCX          HCX+         C                                        6.70E-10 -5.00E-01  0.00E+00   2
  338 C+           HCP          CCP+         H                                        5.85E-10 -5.00E-01  0.00E+00   2
  339 C+           HCP          HCP+         C                                        5.85E-10 -5.00E-01  0.00E+00   2
  340 C+           HCSi         SiC2+        H                                        3.01E-09 -5.00E-01  0.00E+00   2
  341 C+           HNC          C2N+         H                                        8.60E-09 -5.00E-01  0.00E+00   2
  342 C+           HNSi         SiNC+        H                                        4.79E-10 -5.00E-01  0.00E+00   2
  343 C+           HPO          HPO+         C                                        6.90E-09 -5.00E-01  0.00E+00   2
  344 C+           HPX          HPX+         C                                        6.90E-09 -5.00E-01  0.00E+00   2
  345 C+           NaOH         HCO+         Na                                       6.40E-09 -5.00E-01  0.00E+00   2
  346 C+           NaXH         HCX+         Na                                       6.40E-09 -5.00E-01  0.00E+00   2
  347 C+           NH2          HCN+         H                                        2.70E-09 -5.00E-01  0.00E+00   2
  348 C+           OCN          CO+          CN                                       1.90E-09 -5.00E-01  0.00E+00   2
  349 C+           XCN          CX+          CN                                       1.90E-09 -5.00E-01  0.00E+00   2
  350 C+           OCS          CS+          CO                                       1.60E-09 -5.00E-01  0.00E+00   2
  351 C+           XCS          CS+          CX                                       1.60E-09 -5.00E-01  0.00E+00   2
  352 C+           OCS          OCS+         C                                        4.00E-10 -5.00E-01  0.00E+00   2
  353 C+           XCS          XCS+         C                                        4.00E-10 -5.00E-01  0.00E+00   2
  354 C+           SiC2         SiC2+        C                                        2.97E-09 -5.00E-01  0.00E+00   2
  355 C+           SiH2         SiC+         H2                                       7.93E-11 -5.00E-01  0.00E+00   2
  356 C+           SiH2         CHSi+        H                                        7.93E-11 -5.00E-01  0.00E+00   2
  357 C+           SiH2         SiH2+        C                                        7.93E-11 -5.00E-01  0.00E+00   2
  358 C+           SO2          SO+          CO                                       2.00E-09 -5.00E-01  0.00E+00   2
  359 C+           SOX          SX+          CO                                       1.00E-09 -5.00E-01  0.00E+00   2
  360 C+           SOX          SO+          CX                                       1.00E-09 -5.00E-01  0.00E+00   2
  361 C+           C2H2         C3H+         H                                        2.70E-09  0.00E+00  0.00E+00   2
  362 C+           C3H          C4+          H                                        8.29E-09 -5.00E-01  0.00E+00   2
  363 C+           HC3          C4+          H                                        1.07E-08 -5.00E-01  0.00E+00   2
  364 C+           C3O          C3+          CO                                       2.34E-09 -5.00E-01  0.00E+00   2
  365 C+           C3X          C3+          CX                                       2.34E-09 -5.00E-01  0.00E+00   2
  366 C+           C3O          C3O+         C                                        2.34E-09 -5.00E-01  0.00E+00   2
  367 C+           C3X          C3X+         C                                        2.34E-09 -5.00E-01  0.00E+00   2
  368 C+           C3O          C4+          O                                        2.34E-09 -5.00E-01  0.00E+00   2
  369 C+           C3X          C4+          X                                        2.34E-09 -5.00E-01  0.00E+00   2
  370 C+           C3P          C4+          P                                        1.22E-09 -5.00E-01  0.00E+00   2
  371 C+           C3S          C3S+         C                                        2.36E-09 -5.00E-01  0.00E+00   2
  372 C+           C3S          C4+          S                                        2.36E-09 -5.00E-01  0.00E+00   2
  373 C+           CH3          C2H+         H2                                       1.00E-09  0.00E+00  0.00E+00   2
  374 C+           CH3          C2H2+        H                                        1.00E-09  0.00E+00  0.00E+00   2
  375 C+           CH3          CH3+         C                                        1.00E-09  0.00E+00  0.00E+00   2
  376 C+           H2CO         CH2+         CO                                       1.50E-09 -5.00E-01  0.00E+00   2
  377 C+           H2CX         CH2+         CX                                       1.50E-09 -5.00E-01  0.00E+00   2
  378 C+           H2CO         HCO+         CH                                       6.50E-10 -5.00E-01  0.00E+00   2
  379 C+           H2CX         HCX+         CH                                       6.50E-10 -5.00E-01  0.00E+00   2
