!23456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789ABC123456789123456789123456789123456123456123121231212
C+          HS                      CS+         H                                    2.40e-09-5.00e-01 0.00e+00              2
C+          MgH                     Mg+         CH                                   4.10e-09-5.00e-01 0.00e+00              2
C+          NaH                     Na+         CH                                   2.20e-08-5.00e-01 0.00e+00              2
C+          NH                      CN+         H                                    4.60e-09-5.00e-01 0.00e+00              2
C+          NO                      NO+         C                                    4.80e-10-5.00e-01 0.00e+00              2
C+          NS                      CS+         N                                    2.70e-09-5.00e-01 0.00e+00              2
C+          NS                      NS+         C                                    2.70e-09-5.00e-01 0.00e+00              2
C+          O2                      O+          CO                                   4.10e-10 0.00e+00 0.00e+00              2
C+          O2                      CO+         O                                    7.50e-10 0.00e+00 0.00e+00              2
C+          OH                      CO+         H                                    2.90e-09-3.30e-01 0.00e+00              2
C+          PH                      PH+         C                                    1.99e-09-5.00e-01 0.00e+00              2
C+          PO                      PO+         C                                    5.58e-09-5.00e-01 0.00e+00              2
C+          SiC                     Si+         C2                                   2.56e-09-5.00e-01 0.00e+00              2
C+          SiC                     SiC+        C                                    2.56e-09-5.00e-01 0.00e+00              2
C+          SiH                     SiC+        H                                    3.78e-10-5.00e-01 0.00e+00              2
C+          SiN                     SiC+        N                                    3.46e-09-5.00e-01 0.00e+00              2
C+          SiN                     SiN+        C                                    3.46e-09-5.00e-01 0.00e+00              2
C+          SiO                     Si+         CO                                   4.60e-09-5.00e-01 0.00e+00              2
C+          SiS                     SiC+        S                                    2.50e-09-5.00e-01 0.00e+00              2
C+          SiS                     SiS+        C                                    2.50e-09-5.00e-01 0.00e+00              2
C+          SO                      S+          CO                                   1.10e-09-5.00e-01 0.00e+00              2
C+          SO                      CO+         S                                    1.10e-09-5.00e-01 0.00e+00              2
C+          SO                      CS+         O                                    1.10e-09-5.00e-01 0.00e+00              2
C+          SO                      SO+         C                                    1.10e-09-5.00e-01 0.00e+00              2
C+          C2H                     C3+         H                                    2.60e-09-5.00e-01 0.00e+00              2
C+          C2S                     C2S+        C                                    1.72e-09-5.00e-01 0.00e+00              2
C+          C2S                     C3+         S                                    1.72e-09-5.00e-01 0.00e+00              2
C+          CCO                     C2O+        C                                    3.93e-09-5.00e-01 0.00e+00              2
C+          CCP                     CP+         C2                                   1.46e-09-5.00e-01 0.00e+00              2
C+          CCP                     CCP+        C                                    1.46e-09-5.00e-01 0.00e+00              2
C+          CH2                     C2H+        H                                    4.34e-10-5.00e-01 0.00e+00              2
C+          CH2                     CH2+        C                                    4.34e-10-5.00e-01 0.00e+00              2
C+          CO2                     CO+         CO                                   1.10e-09 0.00e+00 0.00e+00              2
C+          H2O                     HCO+        H                                    8.90e-10-5.00e-01 0.00e+00              2
C+          H2O                     HOC+        H                                    1.80e-09-5.00e-01 0.00e+00              2
C+          H2S                     H2S+        C                                    3.20e-10-5.00e-01 0.00e+00              2
C+          H2S                     HCS+        H                                    9.50e-10-5.00e-01 0.00e+00              2
C+          HCN                     C2N+        H                                    4.75e-09-5.00e-01 0.00e+00              2
C+          HCN                     CNC+        H                                    4.75e-09-5.00e-01 0.00e+00              2
C+          HCO                     CH+         CO                                   6.70e-10-5.00e-01 0.00e+00              2
C+          HCO                     HCO+        C                                    6.70e-10-5.00e-01 0.00e+00              2
C+          HCP                     CCP+        H                                    5.85e-10-5.00e-01 0.00e+00              2
C+          HCP                     HCP+        C                                    5.85e-10-5.00e-01 0.00e+00              2
C+          HCSi                    SiC2+       H                                    3.01e-09-5.00e-01 0.00e+00              2
C+          HNC                     C2N+        H                                    8.60e-09-5.00e-01 0.00e+00              2
C+          HNSi                    SiNC+       H                                    4.79e-10-5.00e-01 0.00e+00              2
C+          HPO                     HPO+        C                                    6.90e-09-5.00e-01 0.00e+00              2
C+          NaOH                    HCO+        Na                                   6.40e-09-5.00e-01 0.00e+00              2
C+          NH2                     HCN+        H                                    2.70e-09-5.00e-01 0.00e+00              2
C+          OCN                     CO+         CN                                   1.90e-09-5.00e-01 0.00e+00              2
C+          OCS                     CS+         CO                                   1.60e-09-5.00e-01 0.00e+00              2
C+          OCS                     OCS+        C                                    4.00e-10-5.00e-01 0.00e+00              2
C+          SiC2                    SiC2+       C                                    2.97e-09-5.00e-01 0.00e+00              2
C+          SiH2                    SiC+        H2                                   7.93e-11-5.00e-01 0.00e+00              2
C+          SiH2                    CHSi+       H                                    7.93e-11-5.00e-01 0.00e+00              2
C+          SiH2                    SiH2+       C                                    7.93e-11-5.00e-01 0.00e+00              2
C+          SO2                     SO+         CO                                   2.00e-09-5.00e-01 0.00e+00              2
C+          C2H2                    C3H+        H                                    2.70e-09 0.00e+00 0.00e+00              2
C+          C3H                     C4+         H                                    8.29e-09-5.00e-01 0.00e+00              2
C+          HC3                     C4+         H                                    1.07e-08-5.00e-01 0.00e+00              2
C+          C3O                     C3+         CO                                   2.34e-09-5.00e-01 0.00e+00              2
